l2_regularization,N,query_type,metric,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,baseline_l2_regularization,mean_paired_difference_from_baseline,paired_difference_sample_sd,paired_difference_standard_error,paired_difference_ci95_low,paired_difference_ci95_high,paired_training_and_query_clouds_verified,source_csv
1e-06,300,on_support,Q_relative_l2,3,"[123,124,125]",0.018851536132842663,0.01851414041284313,0.010689143951169511,-0.027140138266771835,0.06484321053245716,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,Q_relative_linf,3,"[123,124,125]",0.03040039515353615,0.036399644955234,0.021015344813311153,-0.06002133557296274,0.12082212588003505,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,Q_mae,3,"[123,124,125]",1.7863847348519706e-06,1.7720998801359114e-06,1.023122342827372e-06,-2.615755406327333e-06,6.188524876031274e-06,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,Q_rmse,3,"[123,124,125]",3.539953833723723e-06,3.715314514963645e-06,2.1450378353383845e-06,-5.689399063796479e-06,1.2769306731243926e-05,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,Q_linf,3,"[123,124,125]",3.032907539194699e-05,3.538051704845788e-05,2.04269510419953e-05,-5.756100126826354e-05,0.00011821915205215751,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,density_relative_l1,3,"[123,124,125]",0.007496240628094455,0.005576065669303292,0.003219343015191287,-0.0063554743840465435,0.021347955640235453,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,density_relative_l2,3,"[123,124,125]",0.0094639871915364,0.005413572721075689,0.003125527667790664,-0.003984072960023916,0.022912047343096716,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,density_relative_linf,3,"[123,124,125]",0.015367981004340411,0.0041307613352547295,0.002384896168867416,0.005106600993321152,0.025629361015359668,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,density_mae,3,"[123,124,125]",6.930652165099348e-05,4.959695933408707e-05,2.8634817822522093e-05,-5.3899155417432945e-05,0.00019251219871941992,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,density_rmse,3,"[123,124,125]",0.00013490919986951079,7.441390879555026e-05,4.29628902745632e-05,-4.9945197245974406e-05,0.000319763596984996,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,density_linf,3,"[123,124,125]",0.0011758324453083548,0.00024173318596812385,0.00013956471999076217,0.0005753339218708243,0.0017763309687458852,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,gradient_relative_l1,3,"[123,124,125]",0.011482770496795289,0.00723988456870336,0.004179949304642703,-0.006502099788817127,0.029467640782407704,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,gradient_relative_l2,3,"[123,124,125]",0.012537208251213983,0.005277832769645245,0.0030471581702925105,-0.0005736551680109881,0.025648071670438956,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,gradient_relative_linf,3,"[123,124,125]",0.027926592878296172,0.015936494458187546,0.00920093936537356,-0.011661853997897063,0.06751503975448941,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,gradient_mae,3,"[123,124,125]",0.00012143118607389411,7.700748832617158e-05,4.4460294114732126e-05,-6.986601976195138e-05,0.0003127283919097396,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,gradient_rmse,3,"[123,124,125]",0.000251774455110088,0.00010727726685412844,6.193655889615838e-05,-1.4717049092453764e-05,0.0005182659593126297,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,gradient_linf,3,"[123,124,125]",0.0046683539220753805,0.002693281651554979,0.001554966886528747,-0.002022128596834643,0.011358836440985405,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,Q_relative_l1,3,"[123,124,125]",0.029087549471602345,0.013382934852788467,0.007726641039804647,-0.004157503689695356,0.062332602632900046,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,Q_relative_l2,3,"[123,124,125]",0.030733169577068925,0.013892786459785124,0.00802100400235093,-0.003778425188549983,0.06524476434268783,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,Q_relative_linf,3,"[123,124,125]",0.04047671033082064,0.004108591063337094,0.0023720961564077624,0.030270404328351055,0.050683016333290226,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,Q_mae,3,"[123,124,125]",2.615328299382215e-06,1.1875837689469355e-06,6.856518086867436e-07,-3.34793326884899e-07,5.565449925649329e-06,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,Q_rmse,3,"[123,124,125]",5.181729413746556e-06,2.4185863628003215e-06,1.3963714876211236e-06,-8.263721791363344e-07,1.1189831006629446e-05,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,off_support,Q_linf,3,"[123,124,125]",4.3379129990989834e-05,7.746859160217115e-06,4.47265122152547e-06,2.4134865003714486e-05,6.262339497826518e-05,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,600,on_support,density_relative_l1,3,"[123,124,125]",0.005229252502265529,0.005950023054490418,0.0034352474121945222,-0.009551424152994838,0.020009929157525898,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
