l2_regularization,baseline_l2,N,seed,query_type,metric,value,baseline_value,paired_difference,paired_percent_change,paired_training_cloud,paired_query_cloud,source_csv
0.01,1e-06,1200,124,on_support,gradient_relative_l2,0.010164796933054464,0.01033527559735558,-0.0001704786643011158,-1.6494834868722328,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,gradient_relative_linf,0.011954149436633654,0.012252025846957115,-0.0002978764103234617,-2.4312420986072407,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,gradient_mae,0.00011656053177460472,0.00011795941728197968,-1.3988855073749615e-06,-1.1859040503997684,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,gradient_rmse,0.00020458317656005102,0.00020801433872769077,-3.4311621676397512e-06,-1.6494834868722426,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,gradient_linf,0.0020470839303156282,0.0020980936668113584,-5.100973649573015e-05,-2.4312420986072443,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,Q_relative_l1,0.023849713769539715,0.024455261077514365,-0.0006055473079746507,-2.4761432971632726,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,Q_relative_l2,0.023823434351344173,0.024579956664812535,-0.0007565223134683614,-3.077801656792023,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,Q_relative_linf,0.030580651117097995,0.03131177412631631,-0.0007311230092183173,-2.3349779104462725,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,Q_mae,1.950988058230225e-06,2.000523896604138e-06,-4.9535838373912843e-08,-2.476143297163271,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,on_support,Q_rmse,3.389745104166711e-06,3.4973877626706286e-06,-1.0764265850391767e-07,-3.0778016567920115,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
