method,P0,observable,metric,n_seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,source_csv
MIDPOINT,100.0,P0,value1,4,-0.20066263843498433,0.9918231382613371,0.49591156913066853,-1.7788745793626017,1.377549302492633,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P0,value2,4,-0.19763049587403045,0.956374995336569,0.4781874976682845,-1.7194365310615896,1.3241755393135286,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P0,value3,4,-0.18039001753550538,0.9626224501838743,0.48131122509193713,-1.7121371475211828,1.3513571124501722,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P0,D12,4,5.741770698555349,5.721982320042861,2.8609911600214306,-3.3631800481057894,14.846721445216488,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P0,D23,4,5.815887580232945,5.581945927156131,2.7909729635780653,-3.066234015854339,14.69800917632023,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P0,raw_observable_seed_spread,4,12.056754129089546,2.1346889844657273,1.0673444922328637,8.659987593317561,15.45352066486153,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P1,value1,4,1.2006626384351762,0.9918231382614094,0.4959115691307047,-0.37754930249255647,2.778874579362909,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P1,value2,4,1.197630495874384,0.9563749953365281,0.47818749766826407,-0.32417553931311005,2.719436531061878,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P1,value3,4,1.1803900175363766,0.962622450183861,0.4813112250919305,-0.3513571124492798,2.712137147522033,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P1,D12,4,5.741770698555128,5.721982320042364,2.860991160021182,-3.36318004810522,14.846721445215476,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
