comparison_kind,reference,P0,observable,metric,n_paired_seeds,seeds,paired_differences_midpoint_minus_pbme,mean_paired_difference,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,verdict_before_scientific_gates,source_csv
observable,QCLE,20.0,P_var,E_RMS,4,"[11,29,47,73]","[14.812648148439578,65.77131314546762,257.7336476392558,59.5285541997595]",99.46154078323062,107.92770680522128,53.96385340261064,-72.27552509680922,271.1986066632704,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,P_var,E_infinity,4,"[11,29,47,73]","[176.388411862567,374.666360485217,3129.584439628533,192.42471520806737]",968.2659817960961,1443.6825301166862,721.8412650583431,-1328.955085190546,3265.4870487827384,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,R_mean,E_RMS,4,"[11,29,47,73]","[0.09531148331963121,1.3115887964705315,0.6384237230340695,5.8531379407180655]",1.9746154858855745,2.633105440646659,1.3165527203233296,-2.215242854619351,6.1644738263905,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,R_mean,E_infinity,4,"[11,29,47,73]","[0.39511963578513043,2.468398218492453,8.534658040016254,36.414874243700254]",11.953262534498522,16.669439327319658,8.334719663659829,-14.571535264695795,38.47806033369284,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,R_var,E_RMS,4,"[11,29,47,73]","[0.5918901501052266,10.401399467183964,23.516058467202154,4.372030270197774]",9.72034458867228,10.045209532442156,5.022604766221078,-6.263825392491119,25.70451456983568,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,R_var,E_infinity,4,"[11,29,47,73]","[1.6799203184567943,35.01949856672607,68.22768086016316,8.733479744248617]",28.41514487239866,30.170602047153746,15.085301023576873,-19.59301563418447,76.4233053789818,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,energy,E_RMS,4,"[11,29,47,73]","[0.004165126510737459,0.00963518079650666,0.012157026648036556,0.06832077937520882]",0.023569528332622373,0.030020085031523442,0.015010042515761721,-0.024199126013823215,0.07133818267906797,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,energy,E_infinity,4,"[11,29,47,73]","[0.00636596721674193,0.023443165595847734,0.05468975435208854,0.2366348080215828]",0.08028342379656525,0.10613732708817462,0.05306866354408731,-0.08860474842568908,0.24917159601881958,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,trace,E_RMS,4,"[11,29,47,73]","[4.909632802440265e-13,6.164556129818668e-13,8.594372889524173e-13,3.774617248576587e-12]",1.4353683576887244e-12,1.5669823444232426e-12,7.834911722116213e-13,-1.0580502285389859e-12,3.9287869439164345e-12,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,20.0,trace,E_infinity,4,"[11,29,47,73]","[9.878764473114643e-13,8.928413564035509e-13,1.9875212586839552e-12,1.287525641657794e-11]",4.185873869744228e-12,5.814045461798502e-12,2.907022730899251e-12,-5.06556987958346e-12,1.3437317619071916e-11,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P0,E_RMS,4,"[11,29,47,73]","[197.37333481313965,1.6794036072322969,3.5163207511655883,3.08651160548829]",51.413892694256454,97.30945707611625,48.65472853805812,-103.42716837629541,206.2549537648083,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P0,E_infinity,4,"[11,29,47,73]","[9630.999321541018,48.349524609241556,152.53241613228968,115.44292305674546]",2486.8310463348234,4762.974007992958,2381.487003996479,-5092.1234706162595,10065.785563285906,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P1,E_RMS,4,"[11,29,47,73]","[197.37333481312305,1.6794036072321943,3.5163207511655625,3.0865116054881803]",51.41389269425224,97.30945707610799,48.654728538053995,-103.42716837628649,206.25495376479097,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P1,E_infinity,4,"[11,29,47,73]","[9630.999321540208,48.349524609242465,152.53241613228764,115.44292305674485]",2486.831046334621,4762.974007992554,2381.487003996277,-5092.123470615819,10065.785563285062,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P_mean,E_RMS,4,"[11,29,47,73]","[558.9308218227901,6.0846010473800005,4.738866484508598,7.506485597979616]",144.31519373816457,276.41272857827425,138.20636428913713,-295.5191396605708,584.1495271368999,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P_mean,E_infinity,4,"[11,29,47,73]","[27321.793609662334,170.9750928923876,207.49990264291895,235.2179502708395]",6983.871638867119,13558.640172136384,6779.320086068192,-14590.95052137999,28558.69379911423,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P_var,E_RMS,4,"[11,29,47,73]","[9.016906627312686e+26,1.724431350921753e+45,3.295693295786324e+44,5.890462317402105e+31]",5.135001701251111e+44,8.221009119255897e+44,4.1105045596279486e+44,-7.946458347390969e+44,1.8216461749893192e+45,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,P_var,E_infinity,4,"[11,29,47,73]","[2.3420014655874454e+27,7.536360019687204e+45,2.6638225275029883e+45,2.2962034572160047e+32]",2.5500456367976054e+45,3.5534838213303714e+45,1.7767419106651857e+45,-3.104340092242517e+45,8.204431365837728e+45,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
observable,QCLE,100.0,R_mean,E_RMS,4,"[11,29,47,73]","[421.7776268876147,2.6043644566634936,2.3499844874260463,5.665042599255677]",108.09925460774,209.12434021009096,104.56217010504548,-224.66423731556662,440.8627465310466,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\observable_errors_by_seed.csv
